"id","submitdate","lastpage","startlanguage","startdate","datestamp","refurl","INSTRUKCJA","LOSUJ","PIERWSZE1[1]","PIERWSZE2[2]","PIERWSZE3[3]","PIERWSZE4[4]","PIERWSZE5[5]","PIERWSZE6[6]","PIERWSZE7[7]","PIERWSZE8[8]","PIERWSZE9[9]","PIERWSZE10[10]","PIERWSZE11[11]","PIERWSZE12[12]","PIERWSZE13[13]","PIERWSZE14[14]","PIERWSZE15[15]","PIERWSZE16[16]","PIERWSZE17[17]","PIERWSZE18[18]","PIERWSZE19[19]","PIERWSZE20[20]","PIERWSZE21[21]","PIERWSZE22[22]","PIERWSZE23[23]","PIERWSZE24[24]","DRUGIE1[1]","DRUGIE2[2]","DRUGIE3[3]","DRUGIE4[4]","DRUGIE5[5]","DRUGIE6[6]","DRUGIE7[7]","DRUGIE8[8]","DRUGIE9[9]","DRUGIE10[10]","DRUGIE11[11]","DRUGIE12[12]","DRUGIE13[13]","DRUGIE14[14]","DRUGIE15[15]","DRUGIE16[16]","DRUGIE17[17]","DRUGIE18[18]","DRUGIE19[19]","DRUGIE20[20]","DRUGIE21[21]","DRUGIE22[22]","DRUGIE23[23]","DRUGIE24[24]","TRZECIE8","TRZECIE9","TRZECIE11","TRZECIE12","TRZECIE14","TRZECIE15","TRZECIE17","TRZECIE18","TRZECIE20","TRZECIE21","TRZECIE23","TRZECIE24","CZWARTE9","CZWARTE8","CZWARTE3","CZWARTE14","CZWARTE15","CZWARTE17","CZWARTE18","CZWARTE20","CZWARTE21","CZWARTE23","CZWARTE24","CZWARTE2","CZWARTE5","CZWARTE6","CZWARTE11","CZWARTE12","PIATE20","PIATE21","PIATE23","PIATE24","G","Y","E","E[other]","F","H","interviewtime","groupTime212","INSTRUKCJATime","groupTime207","LOSUJTime","groupTime206","PIERWSZE1Time","PIERWSZE2Time","PIERWSZE3Time","PIERWSZE4Time","PIERWSZE5Time","PIERWSZE6Time","PIERWSZE7Time","PIERWSZE8Time","PIERWSZE9Time","PIERWSZE10Time","PIERWSZE11Time","PIERWSZE12Time","PIERWSZE13Time","PIERWSZE14Time","PIERWSZE15Time","PIERWSZE16Time","PIERWSZE17Time","PIERWSZE18Time","PIERWSZE19Time","PIERWSZE20Time","PIERWSZE21Time","PIERWSZE22Time","PIERWSZE23Time","PIERWSZE24Time","groupTime208","DRUGIE1Time","DRUGIE2Time","DRUGIE3Time","DRUGIE4Time","DRUGIE5Time","DRUGIE6Time","DRUGIE7Time","DRUGIE8Time","DRUGIE9Time","DRUGIE10Time","DRUGIE11Time","DRUGIE12Time","DRUGIE13Time","DRUGIE14Time","DRUGIE15Time","DRUGIE16Time","DRUGIE17Time","DRUGIE18Time","DRUGIE19Time","DRUGIE20Time","DRUGIE21Time","DRUGIE22Time","DRUGIE23Time","DRUGIE24Time","groupTime209","TRZECIE8Time","TRZECIE9Time","TRZECIE11Time","TRZECIE12Time","TRZECIE14Time","TRZECIE15Time","TRZECIE17Time","TRZECIE18Time","TRZECIE20Time","TRZECIE21Time","TRZECIE23Time","TRZECIE24Time","groupTime210","CZWARTE9Time","CZWARTE8Time","CZWARTE3Time","CZWARTE14Time","CZWARTE15Time","CZWARTE17Time","CZWARTE18Time","CZWARTE20Time","CZWARTE21Time","CZWARTE23Time","CZWARTE24Time","CZWARTE2Time","CZWARTE5Time","CZWARTE6Time","CZWARTE11Time","CZWARTE12Time","groupTime211","PIATE20Time","PIATE21Time","PIATE23Time","PIATE24Time","groupTime213","GTime","YTime","ETime","FTime","HTime"
"17","2015-10-28 09:31:45","8","pl","2015-10-28 09:27:47","2015-10-28 09:31:45","https://www.facebook.com/","","4","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kobieta","1996.0000000000","Średnie","","Nie","Nie","236.88","10","","","","163.4","","","","","","","","","","","","","","","","","","","","","","","","","42.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.77","","","","",""
"18","2015-10-28 09:34:48","8","pl","2015-10-28 09:32:03","2015-10-28 09:34:48","http://m.facebook.com","","24","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","jest w stopniu znikomym winą dozorcy.","","","","","","","","","nie jest winą mieszkańców.","Kobieta","1990.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","161.89","9.12","","","","63.54","","","","","","","","","","","","","","","","","","","","","","","","","27.26","","","","","","","","","","","","","","","","","","","","","","","","","7.97","","","","","","","","","","","","","24.54","","","","","","","","","","","","","","","","","8.48","","","","","20.98","","","","",""
"20","2015-10-28 09:49:02","8","pl","2015-10-28 09:47:10","2015-10-28 09:49:02","https://www.facebook.com/","","15","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","jest w stopniu znikomym winą chłopca.","","","","","","","","","","","jest tylko w pewnym stopniu winą dozorcy.","","","","","","","","","","","","","","","","Kobieta","1991.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","108.87","9.4","","","","14.29","","","","","","","","","","","","","","","","","","","","","","","","","30.08","","","","","","","","","","","","","","","","","","","","","","","","","9.83","","","","","","","","","","","","","22.77","","","","","","","","","","","","","","","","","","","","","","22.5","","","","",""
"21","2015-10-28 10:01:24","8","pl","2015-10-28 09:56:00","2015-10-28 10:01:24","https://www.facebook.com/","","18","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","jest w stopniu znikomym winą dozorcy.","","","","","","","","","","","","","","Kobieta","1993.0000000000","Średnie","","Tak","Tak","320.57","31.26","","","","230.41","","","","","","","","","","","","","","","","","","","","","","","","","9.88","","","","","","","","","","","","","","","","","","","","","","","","","10.74","","","","","","","","","","","","","19.91","","","","","","","","","","","","","","","","","","","","","","18.37","","","","",""
"22","2015-10-28 10:12:59","8","pl","2015-10-28 10:10:05","2015-10-28 10:12:58","http://m.facebook.com/","","2","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","jest całkowicie zasługą dozorcy.","","","","","","","","","Kobieta","1980.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","171.7","10.71","","","","69.89","","","","","","","","","","","","","","","","","","","","","","","","","27.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.03","","","","","","","","","","","","","","","","","","","","","","38.01","","","","",""
"23","2015-10-28 10:13:52","8","pl","2015-10-28 10:12:10","2015-10-28 10:13:52","https://www.facebook.com/","","22","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mężczyzna","1992.0000000000","Średnie","","Nie","Nie","98.95","7.57","","","","54.41","","","","","","","","","","","","","","","","","","","","","","","","","15.94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.03","","","","",""
"24","2015-10-28 11:17:40","8","pl","2015-10-28 11:15:47","2015-10-28 11:17:40","https://www.facebook.com/","","8","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","jest tylko w pewnym stopniu zasługą pani Malinowskiej.","","","","","","","","","","","","","jest w znacznym stopniu zasługą dozorcy.","","","","","","","","","","","","","","","","","","","Kobieta","1984.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","108.75","8.44","","","","9.37","","","","","","","","","","","","","","","","","","","","","","","","","44.25","","","","","","","","","","","","","","","","","","","","","","","","","12.04","","","","","","","","","","","","","10.81","","","","","","","","","","","","","","","","","","","","","","23.84","","","","",""
"25","2015-10-28 11:31:36","8","pl","2015-10-28 11:29:23","2015-10-28 11:31:36","https://www.facebook.com/","","17","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","jest w stopniu znikomym zasługą chłopca.","","","","","","","","","","","jest w znacznym stopniu zasługą dozorcy.","","","","","","","","","","","","","","","Kobieta","84.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Nie","127.98","9.8","","","","46.71","","","","","","","","","","","","","","","","","","","","","","","","","33.94","","","","","","","","","","","","","","","","","","","","","","","","","11.32","","","","","","","","","","","","","8.46","","","","","","","","","","","","","","","","","","","","","","17.75","","","","",""
"27","2015-10-28 11:45:10","8","pl","2015-10-28 11:43:57","2015-10-28 11:45:10","http://m.facebook.com","","4","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kobieta","1995.0000000000","Średnie","","Nie","Nie","69.16","8.79","","","","28.42","","","","","","","","","","","","","","","","","","","","","","","","","10.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.06","","","","",""
"28","2015-10-28 11:51:00","8","pl","2015-10-28 11:49:19","2015-10-28 11:51:00","https://www.facebook.com/","","19","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mężczyzna","1986.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Nie","98.58","12.17","","","","50.7","","","","","","","","","","","","","","","","","","","","","","","","","16.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.36","","","","",""
"29","2015-10-28 12:06:23","8","pl","2015-10-28 12:04:42","2015-10-28 12:06:23","https://www.facebook.com","","1","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mężczyzna","1984.0000000000","Doktorat","","Nie","Nie","98.74","9.63","","","","14.48","","","","","","","","","","","","","","","","","","","","","","","","","53.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.32","","","","",""
"30","2015-10-28 12:18:28","8","pl","2015-10-28 12:16:12","2015-10-28 12:18:28","https://www.facebook.com/","","23","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","nie jest zasługą chłopca.","","","","","","","","","","","jest całkowicie zasługą dozorcy.","","","","","","","","","nie jest zasługą mieszkańców.","","Mężczyzna","1981.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","135.33","9.99","","","","32.67","","","","","","","","","","","","","","","","","","","","","","","","","30.01","","","","","","","","","","","","","","","","","","","","","","","","","17.61","","","","","","","","","","","","","17.39","","","","","","","","","","","","","","","","","10.78","","","","","16.88","","","","",""
"31","2015-10-28 12:32:48","8","pl","2015-10-28 12:25:26","2015-10-28 12:32:47","https://www.facebook.com","","12","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","nie jest winą robotników.","","","","","","","","","","","","","","","","","","","","","","","","nie jest winą dozorcy.","","","","","Kobieta","1995.0000000000","Średnie","","Nie","Nie","438.77","12.76","","","","12.69","","","","","","","","","","","","","","","","","","","","","","","","","357.24","","","","","","","","","","","","","","","","","","","","","","","","","6.96","","","","","","","","","","","","","24.11","","","","","","","","","","","","","","","","","","","","","","25.01","","","","",""
"32","2015-10-28 12:32:43","8","pl","2015-10-28 12:28:20","2015-10-28 12:32:43","https://www.facebook.com","","1","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Kobieta","1992.0000000000","Średnie","","Nie","Tak","261.28","35.12","","","","46.12","","","","","","","","","","","","","","","","","","","","","","","","","160.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.65","","","","",""
"33","2015-10-28 12:32:36","8","pl","2015-10-28 12:30:04","2015-10-28 12:32:36","https://www.facebook.com/","","17","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","nie jest zasługą chłopca.","","","","","","","","","","","jest całkowicie zasługą dozorcy.","","","","","","","","","","","","","","","Kobieta","1972.0000000000","Wyższe (licencjat, magister, inżynier)","","Tak","Nie","148.62","10.61","","","","44.68","","","","","","","","","","","","","","","","","","","","","","","","","31.08","","","","","","","","","","","","","","","","","","","","","","","","","10.88","","","","","","","","","","","","","24.23","","","","","","","","","","","","","","","","","","","","","","27.14","","","","",""
"34","2015-10-28 12:45:14","8","pl","2015-10-28 12:39:24","2015-10-28 12:45:14","https://www.facebook.com","","1","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mężczyzna","23.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","348.04","9.58","","","","295.02","","","","","","","","","","","","","","","","","","","","","","","","","27.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.74","","","","",""
"35","2015-10-28 12:55:11","8","pl","2015-10-28 12:52:40","2015-10-28 12:55:11","https://www.facebook.com/","","8","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","","","jest tylko w pewnym stopniu zasługą pani Malinowskiej.","","","","","","","","","","","","","jest w znacznym stopniu zasługą dozorcy.","","","","","","","","","","","","","","","","","","","Kobieta","1984.0000000000","Średnie","","Nie","Nie","147.88","9.41","","","","25.86","","","","","","","","","","","","","","","","","","","","","","","","","48.48","","","","","","","","","","","","","","","","","","","","","","","","","17.82","","","","","","","","","","","","","20.2","","","","","","","","","","","","","","","","","","","","","","26.11","","","","",""
"37","2015-10-28 13:09:19","8","pl","2015-10-28 13:07:31","2015-10-28 13:09:19","https://www.facebook.com","","14","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","0.0000000000","","","","","","","","","","","","","","","nie jest zasługą chłopca.","","","","","","","","","","","jest całkowicie zasługą dozorcy.","","","","","","","","","","","","","","","","","Kobieta","1983.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","104.95","9.18","","","","37.43","","","","","","","","","","","","","","","","","","","","","","","","","15.5","","","","","","","","","","","","","","","","","","","","","","","","","13.91","","","","","","","","","","","","","10.55","","","","","","","","","","","","","","","","","","","","","","18.38","","","","",""
"40","2015-10-28 13:18:34","8","pl","2015-10-28 13:15:49","2015-10-28 13:18:34","https://www.facebook.com/","","15","","","","","","","","","","","","","","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","","","4.0000000000","","","","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","jest  w znacznym stopniu winą dozorcy.","","","","","","","","","","","","","","","","Kobieta","21.0000000000","Średnie","","Nie","Tak","162.56","14.17","","","","74.09","","","","","","","","","","","","","","","","","","","","","","","","","20.57","","","","","","","","","","","","","","","","","","","","","","","","","9.17","","","","","","","","","","","","","20.75","","","","","","","","","","","","","","","","","","","","","","23.81","","","","",""
"39","2015-10-28 13:13:51","8","pl","2015-10-28 13:11:10","2015-10-28 13:13:51","","","15","","","","","","","","","","","","","","","2.0000000000","","","","","","","","","","","","","","","","","","","","","","","","3.0000000000","","","","","","","","","","","","","","","nie jest winą chłopca.","","","","","","","","","","","nie jest winą dozorcy.","","","","","","","","","","","","","","","","Kobieta","1981.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","159.38","16.41","","","","67.56","","","","","","","","","","","","","","","","","","","","","","","","","19.85","","","","","","","","","","","","","","","","","","","","","","","","","12.44","","","","","","","","","","","","","18.44","","","","","","","","","","","","","","","","","","","","","","24.68","","","","",""
"41","2015-10-28 13:59:24","8","pl","2015-10-28 13:56:31","2015-10-28 13:59:24","https://www.facebook.com/","","12","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","1.0000000000","","","","","","","","","","","","","","","","jest w stopniu znikomym winą robotników.","","","","","","","","","","","","","","","","","","","","","","","","jest tylko w pewnym stopniu winą dozorcy.","","","","","Kobieta","1989.0000000000","Wyższe (licencjat, magister, inżynier)","","Nie","Nie","229.4","10.35","","","","157.83","","","","","","","","","","","","","","","","","","","","","","","","","7.78","","","","","","","","","","","","","","","","","","","","","","","","","16.7","","","","","","","","","","","","","18.5","","","","","","","","","","","","","","","","","","","","","","18.24","","","","",""
