"id","submitdate","lastpage","startlanguage","LOSUJ","IgnacySlawekEkrPow","JanekEkrPow","WiktorEkrPow","StandardEkrPow","INSTRUKCJA","INSTRUKCJAZWYKLA","IntHARM","IntHELP","WoOHARM","WoOHELP","IOHARM","IOMHELP","helpWYM","harmWYM","licznikISTN","helpZROZ","harmZROZ","licznikZROZ","helpBEZSENS","harmBEZSENS","licznikSENS","HE1","HE2","HA1","HA2","HARMPRIMENV","HARMBISENV","HELPPRIMENV","HELPBISENV","HARMPRIMSTARVE","HARMBISSTARVE","HELPPRIMSTARVE","HELPBISSTARVE","Sadzi2wdrozenieHARM","Sadzi2wdrozenieHELP","Sadzi3stansieHARM","Sadzi3stansieHELP","ZROZMYSLEMHARM","ZROZMYSLEMHELP","UMYSLNIEHARM","UMYSLNIEHELP","RESPHARM","RESPHELP","RESPHARM2","RESPHELP2","G","Y","E","E[other]","F","H","IgnacySlawekEkrPoz","JanekEkrPoz","WiktorEkrPoz","StandardEkrPoz","BiKEkrPoz"
"47","","7","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","","1","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","","14","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","1","pl","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","","1","pl","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","","1","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","1","pl","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","1980-01-01 00:00:00","21","pl","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","2","M","1992.0000000000","A4","","A2","Y","","","","",""
"55","1980-01-01 00:00:00","21","pl","10","","","","","","","","","","","","","","","","","","","","","","","","A5","A1","","","","","","","","","","","","","","","","","","","","","M","1996.0000000000","A3","","A2","N","","","","",""
"56","","1","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","","1","pl","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","","13","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","1980-01-01 00:00:00","21","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","1","","M","1997.0000000000","A1","","A2","Y","","","","",""
"60","1980-01-01 00:00:00","21","pl","11","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","Y","","","","","","","","","","","","","","","","F","1998.0000000000","A3","","A2","N","","","","",""
"61","1980-01-01 00:00:00","21","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","F","1992.0000000000","A4","","A2","N","","","","",""
"62","","1","pl","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","","1","pl","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","","1","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65","1980-01-01 00:00:00","21","pl","2","","","","","","","","N","","N","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","M","1992.0000000000","A3","","A2","Y","","","","",""
"66","1980-01-01 00:00:00","21","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","1","","F","1990.0000000000","A4","","A2","N","","","","",""
"67","1980-01-01 00:00:00","21","pl","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","Y","","","","","","","","","","","","","","M","1995.0000000000","A3","","A2","Y","","","","",""
"68","1980-01-01 00:00:00","21","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","1","","","","F","1992.0000000000","A4","","A2","Y","","","","",""
"69","1980-01-01 00:00:00","21","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","","","F","1995.0000000000","A3","","A2","N","","","","",""
"70","","1","pl","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"71","1980-01-01 00:00:00","21","pl","7","","","","","","","","","","","","","","","","","","","Y","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","3","","","F","1993.0000000000","A3","","A2","N","","","","",""
"72","","1","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","","7","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","1980-01-01 00:00:00","21","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","1","","F","1991.0000000000","A4","","A2","N","","","","",""
"75","","13","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1980-01-01 00:00:00","21","pl","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","Y","","","","","","","","","","","","","","F","1957.0000000000","A4","","A1","Y","","","","",""
"77","","1","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","1980-01-01 00:00:00","21","pl","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","N","","","","","","","","","","","","","","F","1988.0000000000","A4","","A2","N","","","","",""
"79","1980-01-01 00:00:00","21","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","2","","M","1995.0000000000","A3","","A2","N","","","","",""
"80","","1","pl","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","","14","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","1980-01-01 00:00:00","21","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","N","","","","","","","","","","","","","F","1990.0000000000","A4","","A1","Y","","","","",""
"83","","3","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","1980-01-01 00:00:00","21","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","F","1997.0000000000","A3","","A2","N","","","","",""
"85","","7","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","","1","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","","11","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","1980-01-01 00:00:00","21","pl","11","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","N","","","","","","","","","","","","","","","","M","1996.0000000000","A3","","A1","N","","","","",""
"90","1980-01-01 00:00:00","21","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","2","M","1993.0000000000","A3","","A2","N","","","","",""
"91","1980-01-01 00:00:00","21","pl","12","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","N","","","","","","","","","","","","","","","F","1996.0000000000","A3","","A2","N","","","","",""
"92","1980-01-01 00:00:00","21","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","M","1993.0000000000","A4","","A2","N","","","","",""
"93","","1","pl","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","","19","pl","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","Y","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","1","pl","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96","1980-01-01 00:00:00","21","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","F","1992.0000000000","A4","","A2","N","","","","",""
"97","","1","pl","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","1980-01-01 00:00:00","21","pl","2","","","","","","","","N","","N","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","1992.0000000000","A4","","A2","N","","","","",""
"99","1980-01-01 00:00:00","21","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","1","","","","F","1995.0000000000","A3","","A2","N","","","","",""
"100","","4","pl","1","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","","4","pl","2","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102","","19","pl","1","","","","","","","N","","Y","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103","1980-01-01 00:00:00","21","pl","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","4","M","1997.0000000000","A3","","A2","N","","","","",""
"104","1980-01-01 00:00:00","21","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","2","","","","M","1993.0000000000","A3","","A2","N","","","","",""
"105","1980-01-01 00:00:00","21","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","N","","","","","","","","","","","","","F","1996.0000000000","A3","","A2","N","","","","",""
"106","","1","pl","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"107","1980-01-01 00:00:00","21","pl","10","","","","","","","","","","","","","","","","","","","","","","","","A5","A1","","","","","","","","","","","","","","","","","","","","","M","1995.0000000000","A3","","A2","Y","","","","",""
"108","","11","pl","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"109","","1","pl","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"110","1980-01-01 00:00:00","21","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","N","","","","","","","","","","","","","F","1994.0000000000","A3","","A2","Y","","","","",""
"111","","7","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"112","1980-01-01 00:00:00","21","pl","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","2","","F","1996.0000000000","A3","","A2","N","","","","",""
"113","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"114","","1","pl","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"115","","1","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"116","1980-01-01 00:00:00","21","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","1","","","F","1981.0000000000","A4","","A1","Y","","","","",""
"117","","1","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"118","","1","pl","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"119","","1","pl","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"120","1980-01-01 00:00:00","21","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","1","","M","1979.0000000000","-oth-","dr","A1","N","","","","",""
"121","1980-01-01 00:00:00","21","pl","10","","","","","","","","","","","","","","","","","","","","","","","","A2","A1","","","","","","","","","","","","","","","","","","","","","F","1994.0000000000","A3","","A2","Y","","","","",""
"122","","1","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"123","","1","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"124","","2","pl","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"125","","1","pl","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"126","","1","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"127","","1","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"128","","1","pl","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"129","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"130","","1","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"131","1980-01-01 00:00:00","21","pl","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","N","","","","","","","","","","","","","","F","1986.0000000000","A4","","A1","N","","","","",""
"132","","2","pl","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"133","1980-01-01 00:00:00","21","pl","10","","","","","","","","","","","","","","","","","","","","","","","","A2","A1","","","","","","","","","","","","","","","","","","","","","F","1974.0000000000","A4","","A2","N","","","","",""
"134","1980-01-01 00:00:00","21","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","3","F","1977.0000000000","A4","","A2","N","","","","",""
"135","","1","pl","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"136","","1","pl","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"137","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"138","","1","pl","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"139","","1","pl","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","","1","pl","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141","","1","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","1980-01-01 00:00:00","21","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","N","","","","","","","","","","","","","F","1982.0000000000","A4","","A2","N","","","","",""
"143","1980-01-01 00:00:00","21","pl","7","","","","","","","","","","","","","","","","","","","Y","","0.0000000000","","","","","","","","","","","","","","","","","","","","","","2","","","F","1968.0000000000","A4","","A2","N","","","","",""
"144","","1","pl","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"145","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","","2","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147","","1","pl","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","","1","pl","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"149","","1","pl","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","1980-01-01 00:00:00","21","pl","3","","","","","","","","","","","","","N","","35.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","F","1981.0000000000","A4","","A2","Y","","","","",""
"151","1980-01-01 00:00:00","21","pl","3","","","","","","","","","","","","","Y","","1.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","F","1980.0000000000","A4","","A1","Y","","","","",""
"152","","6","pl","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"153","","1","pl","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154","","1","pl","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"155","1980-01-01 00:00:00","21","pl","3","","","","","","","","","","","","","Y","","21.0000000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","M","1963.0000000000","A4","","A2","N","","","","",""
"156","","1","pl","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"157","","1","pl","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","","1","pl","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"159","","18","pl","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","","","","","","","","","","","","","",""
"160","","1","pl","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"161","1980-01-01 00:00:00","21","pl","2","","","","","","","","N","","N","","N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","F","1978.0000000000","A4","","A2","N","","","","",""
"162","","1","pl","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"163","","1","pl","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","1980-01-01 00:00:00","21","pl","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","2","","","M","1971.0000000000","-oth-","dr","A2","Y","","","","",""
"165","","1","pl","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","","1","pl","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
